Codepoint,Property,Description
AAC3-AADA,UNASSIGNED,<RESERVED>..<RESERVED>
AADB-AADD,PVALID,TAI VIET SYMBOL KON..TAI VIET SYMBOL SAM
AADE-AADF,ID_DIS or FREE_PVAL,TAI VIET SYMBOL HO HOI..TAI VIET SYMBOL KOI KOI
AAE0-AAEF,PVALID,MEETEI MAYEK LETTER E..MEETEI MAYEK VOWEL SIGN AAU
AAF0-AAF1,ID_DIS or FREE_PVAL,MEETEI MAYEK CHEIKHAN..MEETEI MAYEK AHANG KHUDAM
AAF2-AAF6,PVALID,MEETEI MAYEK ANJI..MEETEI MAYEK VIRAMA
AAF7-AB00,UNASSIGNED,<RESERVED>..<RESERVED>
AB01-AB06,PVALID,ETHIOPIC SYLLABLE TTHU..ETHIOPIC SYLLABLE TTHO
AB07-AB08,UNASSIGNED,<RESERVED>..<RESERVED>
AB09-AB0E,PVALID,ETHIOPIC SYLLABLE DDHU..ETHIOPIC SYLLABLE DDHO
AB0F-AB10,UNASSIGNED,<RESERVED>..<RESERVED>
AB11-AB16,PVALID,ETHIOPIC SYLLABLE DZU..ETHIOPIC SYLLABLE DZO
AB17-AB1F,UNASSIGNED,<RESERVED>..<RESERVED>
AB20-AB26,PVALID,ETHIOPIC SYLLABLE CCHHA..ETHIOPIC SYLLABLE CCHHO
AB27,UNASSIGNED,<RESERVED>
AB28-AB2E,PVALID,ETHIOPIC SYLLABLE BBA..ETHIOPIC SYLLABLE BBO
AB2F,UNASSIGNED,<RESERVED>
AB30-AB5A,PVALID,LATIN SMALL LETTER BARRED ALPHA..LATIN SMALL LETTER Y WITH SHORT RIGHT LEG
AB5B-AB5F,ID_DIS or FREE_PVAL,MODIFIER BREVE WITH INVERTED BREVE..MODIFIER LETTER SMALL U WITH LEFT HOOK
AB60-AB68,PVALID,LATIN SMALL LETTER SAKHA YAT..LATIN SMALL LETTER TURNED R WITH MIDDLE TILDE
AB69-AB6B,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL TURNED W..MODIFIER LETTER RIGHT TACK
AB6C-AB6F,UNASSIGNED,<RESERVED>..<RESERVED>
AB70-ABEA,PVALID,CHEROKEE SMALL LETTER A..MEETEI MAYEK VOWEL SIGN NUNG
ABEB,ID_DIS or FREE_PVAL,MEETEI MAYEK CHEIKHEI
ABEC-ABED,PVALID,MEETEI MAYEK LUM IYEK..MEETEI MAYEK APUN IYEK
ABEE-ABEF,UNASSIGNED,<RESERVED>..<RESERVED>
ABF0-ABF9,PVALID,MEETEI MAYEK DIGIT ZERO..MEETEI MAYEK DIGIT NINE
ABFA-ABFF,UNASSIGNED,<RESERVED>..<RESERVED>
AC00-D7A3,PVALID,"<HANGUL SYLLABLE, FIRST>..<HANGUL SYLLABLE, LAST>"
D7A4-D7AF,UNASSIGNED,<RESERVED>..<RESERVED>
D7B0-D7C6,DISALLOWED,HANGUL JUNGSEONG O-YEO..HANGUL JUNGSEONG ARAEA-E
D7C7-D7CA,UNASSIGNED,<RESERVED>..<RESERVED>
D7CB-D7FB,DISALLOWED,HANGUL JONGSEONG NIEUN-RIEUL..HANGUL JONGSEONG PHIEUPH-THIEUTH
D7FC-D7FF,UNASSIGNED,<RESERVED>..<RESERVED>
D800-F8FF,DISALLOWED,"<NON PRIVATE USE HIGH SURROGATE, FIRST>..<PRIVATE USE, LAST>"
F900-FA0D,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-F900..CJK COMPATIBILITY IDEOGRAPH-FA0D
FA0E-FA0F,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA0E..CJK COMPATIBILITY IDEOGRAPH-FA0F
FA10,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA10
FA11,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA11
FA12,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA12
FA13-FA14,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA13..CJK COMPATIBILITY IDEOGRAPH-FA14
FA15-FA1E,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA15..CJK COMPATIBILITY IDEOGRAPH-FA1E
FA1F,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA1F
FA20,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA20
FA21,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA21
FA22,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA22
FA23-FA24,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA23..CJK COMPATIBILITY IDEOGRAPH-FA24
FA25-FA26,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA25..CJK COMPATIBILITY IDEOGRAPH-FA26
FA27-FA29,PVALID,CJK COMPATIBILITY IDEOGRAPH-FA27..CJK COMPATIBILITY IDEOGRAPH-FA29
FA2A-FA6D,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA2A..CJK COMPATIBILITY IDEOGRAPH-FA6D
FA6E-FA6F,UNASSIGNED,<RESERVED>..<RESERVED>
FA70-FAD9,ID_DIS or FREE_PVAL,CJK COMPATIBILITY IDEOGRAPH-FA70..CJK COMPATIBILITY IDEOGRAPH-FAD9
FADA-FAFF,UNASSIGNED,<RESERVED>..<RESERVED>
FB00-FB06,ID_DIS or FREE_PVAL,LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FB07-FB12,UNASSIGNED,<RESERVED>..<RESERVED>
FB13-FB17,ID_DIS or FREE_PVAL,ARMENIAN SMALL LIGATURE MEN NOW..ARMENIAN SMALL LIGATURE MEN XEH
FB18-FB1C,UNASSIGNED,<RESERVED>..<RESERVED>
FB1D,ID_DIS or FREE_PVAL,HEBREW LETTER YOD WITH HIRIQ
FB1E,PVALID,HEBREW POINT JUDEO-SPANISH VARIKA
FB1F-FB36,ID_DIS or FREE_PVAL,HEBREW LIGATURE YIDDISH YOD YOD PATAH..HEBREW LETTER ZAYIN WITH DAGESH
FB37,UNASSIGNED,<RESERVED>
FB38-FB3C,ID_DIS or FREE_PVAL,HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3D,UNASSIGNED,<RESERVED>
FB3E,ID_DIS or FREE_PVAL,HEBREW LETTER MEM WITH DAGESH
FB3F,UNASSIGNED,<RESERVED>
FB40-FB41,ID_DIS or FREE_PVAL,HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB42,UNASSIGNED,<RESERVED>
FB43-FB44,ID_DIS or FREE_PVAL,HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB45,UNASSIGNED,<RESERVED>
FB46-FDCF,ID_DIS or FREE_PVAL,HEBREW LETTER TSADI WITH DAGESH..ARABIC LIGATURE SALAAMUHU ALAYNAA
FDD0-FDEF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
FDF0-FDFF,ID_DIS or FREE_PVAL,ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM..ARABIC LIGATURE AZZA WA JALL
FE00-FE0F,DISALLOWED,VARIATION SELECTOR-1..VARIATION SELECTOR-16
FE10-FE19,ID_DIS or FREE_PVAL,PRESENTATION FORM FOR VERTICAL COMMA..PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
FE1A-FE1F,UNASSIGNED,<RESERVED>..<RESERVED>
FE20-FE2F,PVALID,COMBINING LIGATURE LEFT HALF..COMBINING CYRILLIC TITLO RIGHT HALF
FE30-FE52,ID_DIS or FREE_PVAL,PRESENTATION FORM FOR VERTICAL TWO DOT LEADER..SMALL FULL STOP
FE53,UNASSIGNED,<RESERVED>
FE54-FE66,ID_DIS or FREE_PVAL,SMALL SEMICOLON..SMALL EQUALS SIGN
FE67,UNASSIGNED,<RESERVED>
FE68-FE6B,ID_DIS or FREE_PVAL,SMALL REVERSE SOLIDUS..SMALL COMMERCIAL AT
FE6C-FE6F,UNASSIGNED,<RESERVED>..<RESERVED>
FE70-FE72,ID_DIS or FREE_PVAL,ARABIC FATHATAN ISOLATED FORM..ARABIC DAMMATAN ISOLATED FORM
FE73,PVALID,ARABIC TAIL FRAGMENT
FE74,ID_DIS or FREE_PVAL,ARABIC KASRATAN ISOLATED FORM
FE75,UNASSIGNED,<RESERVED>
FE76-FEFC,ID_DIS or FREE_PVAL,ARABIC FATHA ISOLATED FORM..ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFD-FEFE,UNASSIGNED,<RESERVED>..<RESERVED>
FEFF,DISALLOWED,ZERO WIDTH NO-BREAK SPACE
FF00,UNASSIGNED,<RESERVED>
FF01-FF9F,ID_DIS or FREE_PVAL,FULLWIDTH EXCLAMATION MARK..HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
FFA0,DISALLOWED,HALFWIDTH HANGUL FILLER
FFA1-FFBE,ID_DIS or FREE_PVAL,HALFWIDTH HANGUL LETTER KIYEOK..HALFWIDTH HANGUL LETTER HIEUH
FFBF-FFC1,UNASSIGNED,<RESERVED>..<RESERVED>
FFC2-FFC7,ID_DIS or FREE_PVAL,HALFWIDTH HANGUL LETTER A..HALFWIDTH HANGUL LETTER E
FFC8-FFC9,UNASSIGNED,<RESERVED>..<RESERVED>
FFCA-FFCF,ID_DIS or FREE_PVAL,HALFWIDTH HANGUL LETTER YEO..HALFWIDTH HANGUL LETTER OE
FFD0-FFD1,UNASSIGNED,<RESERVED>..<RESERVED>
FFD2-FFD7,ID_DIS or FREE_PVAL,HALFWIDTH HANGUL LETTER YO..HALFWIDTH HANGUL LETTER YU
FFD8-FFD9,UNASSIGNED,<RESERVED>..<RESERVED>
FFDA-FFDC,ID_DIS or FREE_PVAL,HALFWIDTH HANGUL LETTER EU..HALFWIDTH HANGUL LETTER I
FFDD-FFDF,UNASSIGNED,<RESERVED>..<RESERVED>
FFE0-FFE6,ID_DIS or FREE_PVAL,FULLWIDTH CENT SIGN..FULLWIDTH WON SIGN
FFE7,UNASSIGNED,<RESERVED>
FFE8-FFEE,ID_DIS or FREE_PVAL,HALFWIDTH FORMS LIGHT VERTICAL..HALFWIDTH WHITE CIRCLE
FFEF-FFF8,UNASSIGNED,<RESERVED>..<RESERVED>
FFF9-FFFB,DISALLOWED,INTERLINEAR ANNOTATION ANCHOR..INTERLINEAR ANNOTATION TERMINATOR
FFFC-FFFD,ID_DIS or FREE_PVAL,OBJECT REPLACEMENT CHARACTER..REPLACEMENT CHARACTER
FFFE-FFFF,DISALLOWED,<NOT A CHARACTER>..<NOT A CHARACTER>
10000-1000B,PVALID,LINEAR B SYLLABLE B008 A..LINEAR B SYLLABLE B046 JE
1000C,UNASSIGNED,<RESERVED>
1000D-10026,PVALID,LINEAR B SYLLABLE B036 JO..LINEAR B SYLLABLE B032 QO
10027,UNASSIGNED,<RESERVED>
10028-1003A,PVALID,LINEAR B SYLLABLE B060 RA..LINEAR B SYLLABLE B042 WO
1003B,UNASSIGNED,<RESERVED>
1003C-1003D,PVALID,LINEAR B SYLLABLE B017 ZA..LINEAR B SYLLABLE B074 ZE
1003E,UNASSIGNED,<RESERVED>
1003F-1004D,PVALID,LINEAR B SYLLABLE B020 ZO..LINEAR B SYLLABLE B091 TWO
1004E-1004F,UNASSIGNED,<RESERVED>..<RESERVED>
10050-1005D,PVALID,LINEAR B SYMBOL B018..LINEAR B SYMBOL B089
1005E-1007F,UNASSIGNED,<RESERVED>..<RESERVED>
10080-100FA,PVALID,LINEAR B IDEOGRAM B100 MAN..LINEAR B IDEOGRAM VESSEL B305
100FB-100FF,UNASSIGNED,<RESERVED>..<RESERVED>
10100-10102,ID_DIS or FREE_PVAL,AEGEAN WORD SEPARATOR LINE..AEGEAN CHECK MARK
10103-10106,UNASSIGNED,<RESERVED>..<RESERVED>
10107-10133,ID_DIS or FREE_PVAL,AEGEAN NUMBER ONE..AEGEAN NUMBER NINETY THOUSAND
10134-10136,UNASSIGNED,<RESERVED>..<RESERVED>
10137-1018E,ID_DIS or FREE_PVAL,AEGEAN WEIGHT BASE UNIT..NOMISMA SIGN
1018F,UNASSIGNED,<RESERVED>
10190-1019C,ID_DIS or FREE_PVAL,ROMAN SEXTANS SIGN..ASCIA SYMBOL
1019D-1019F,UNASSIGNED,<RESERVED>..<RESERVED>
101A0,ID_DIS or FREE_PVAL,GREEK SYMBOL TAU RHO
101A1-101CF,UNASSIGNED,<RESERVED>..<RESERVED>
101D0-101FC,ID_DIS or FREE_PVAL,PHAISTOS DISC SIGN PEDESTRIAN..PHAISTOS DISC SIGN WAVY BAND
101FD,PVALID,PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
101FE-1027F,UNASSIGNED,<RESERVED>..<RESERVED>
10280-1029C,PVALID,LYCIAN LETTER A..LYCIAN LETTER X
1029D-1029F,UNASSIGNED,<RESERVED>..<RESERVED>
102A0-102D0,PVALID,CARIAN LETTER A..CARIAN LETTER UUU3
102D1-102DF,UNASSIGNED,<RESERVED>..<RESERVED>
102E0,PVALID,COPTIC EPACT THOUSANDS MARK
102E1-102FB,ID_DIS or FREE_PVAL,COPTIC EPACT DIGIT ONE..COPTIC EPACT NUMBER NINE HUNDRED
102FC-102FF,UNASSIGNED,<RESERVED>..<RESERVED>
10300-1031F,PVALID,OLD ITALIC LETTER A..OLD ITALIC LETTER ESS
10320-10323,ID_DIS or FREE_PVAL,OLD ITALIC NUMERAL ONE..OLD ITALIC NUMERAL FIFTY
10324-1032C,UNASSIGNED,<RESERVED>..<RESERVED>
1032D-10340,PVALID,OLD ITALIC LETTER YE..GOTHIC LETTER PAIRTHRA
10341,ID_DIS or FREE_PVAL,GOTHIC LETTER NINETY
10342-10349,PVALID,GOTHIC LETTER RAIDA..GOTHIC LETTER OTHAL
1034A,ID_DIS or FREE_PVAL,GOTHIC LETTER NINE HUNDRED
1034B-1034F,UNASSIGNED,<RESERVED>..<RESERVED>
10350-1037A,PVALID,OLD PERMIC LETTER AN..COMBINING OLD PERMIC LETTER SII
1037B-1037F,UNASSIGNED,<RESERVED>..<RESERVED>
10380-1039D,PVALID,UGARITIC LETTER ALPA..UGARITIC LETTER SSU
1039E,UNASSIGNED,<RESERVED>
1039F,ID_DIS or FREE_PVAL,UGARITIC WORD DIVIDER
103A0-103C3,PVALID,OLD PERSIAN SIGN A..OLD PERSIAN SIGN HA
103C4-103C7,UNASSIGNED,<RESERVED>..<RESERVED>
103C8-103CF,PVALID,OLD PERSIAN SIGN AURAMAZDAA..OLD PERSIAN SIGN BUUMISH
103D0-103D5,ID_DIS or FREE_PVAL,OLD PERSIAN WORD DIVIDER..OLD PERSIAN NUMBER HUNDRED
103D6-103FF,UNASSIGNED,<RESERVED>..<RESERVED>
10400-1049D,PVALID,DESERET CAPITAL LETTER LONG I..OSMANYA LETTER OO
1049E-1049F,UNASSIGNED,<RESERVED>..<RESERVED>
104A0-104A9,PVALID,OSMANYA DIGIT ZERO..OSMANYA DIGIT NINE
104AA-104AF,UNASSIGNED,<RESERVED>..<RESERVED>
104B0-104D3,PVALID,OSAGE CAPITAL LETTER A..OSAGE CAPITAL LETTER ZHA
104D4-104D7,UNASSIGNED,<RESERVED>..<RESERVED>
104D8-104FB,PVALID,OSAGE SMALL LETTER A..OSAGE SMALL LETTER ZHA
104FC-104FF,UNASSIGNED,<RESERVED>..<RESERVED>
10500-10527,PVALID,ELBASAN LETTER A..ELBASAN LETTER KHE
10528-1052F,UNASSIGNED,<RESERVED>..<RESERVED>
10530-10563,PVALID,CAUCASIAN ALBANIAN LETTER ALT..CAUCASIAN ALBANIAN LETTER KIW
10564-1056E,UNASSIGNED,<RESERVED>..<RESERVED>
1056F,ID_DIS or FREE_PVAL,CAUCASIAN ALBANIAN CITATION MARK
10570-1057A,PVALID,VITHKUQI CAPITAL LETTER A..VITHKUQI CAPITAL LETTER GA
1057B,UNASSIGNED,<RESERVED>
1057C-1058A,PVALID,VITHKUQI CAPITAL LETTER HA..VITHKUQI CAPITAL LETTER RE
1058B,UNASSIGNED,<RESERVED>
1058C-10592,PVALID,VITHKUQI CAPITAL LETTER SE..VITHKUQI CAPITAL LETTER XE
10593,UNASSIGNED,<RESERVED>
10594-10595,PVALID,VITHKUQI CAPITAL LETTER Y..VITHKUQI CAPITAL LETTER ZE
10596,UNASSIGNED,<RESERVED>
10597-105A1,PVALID,VITHKUQI SMALL LETTER A..VITHKUQI SMALL LETTER GA
105A2,UNASSIGNED,<RESERVED>
105A3-105B1,PVALID,VITHKUQI SMALL LETTER HA..VITHKUQI SMALL LETTER RE
105B2,UNASSIGNED,<RESERVED>
105B3-105B9,PVALID,VITHKUQI SMALL LETTER SE..VITHKUQI SMALL LETTER XE
105BA,UNASSIGNED,<RESERVED>
105BB-105BC,PVALID,VITHKUQI SMALL LETTER Y..VITHKUQI SMALL LETTER ZE
105BD-105BF,UNASSIGNED,<RESERVED>..<RESERVED>
105C0-105F3,PVALID,TODHRI LETTER A..TODHRI LETTER OO
105F4-105FF,UNASSIGNED,<RESERVED>..<RESERVED>
10600-10736,PVALID,LINEAR A SIGN AB001..LINEAR A SIGN A664
10737-1073F,UNASSIGNED,<RESERVED>..<RESERVED>
10740-10755,PVALID,LINEAR A SIGN A701 A..LINEAR A SIGN A732 JE
10756-1075F,UNASSIGNED,<RESERVED>..<RESERVED>
10760-10767,PVALID,LINEAR A SIGN A800..LINEAR A SIGN A807
10768-1077F,UNASSIGNED,<RESERVED>..<RESERVED>
10780,PVALID,MODIFIER LETTER SMALL CAPITAL AA
10781-10785,ID_DIS or FREE_PVAL,MODIFIER LETTER SUPERSCRIPT TRIANGULAR COLON..MODIFIER LETTER SMALL B WITH HOOK
10786,UNASSIGNED,<RESERVED>
10787-107B0,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL DZ DIGRAPH..MODIFIER LETTER SMALL V WITH RIGHT HOOK
107B1,UNASSIGNED,<RESERVED>
107B2-107BA,ID_DIS or FREE_PVAL,MODIFIER LETTER SMALL CAPITAL Y..MODIFIER LETTER SMALL S WITH CURL
107BB-107FF,UNASSIGNED,<RESERVED>..<RESERVED>
10800-10805,PVALID,CYPRIOT SYLLABLE A..CYPRIOT SYLLABLE JA
10806-10807,UNASSIGNED,<RESERVED>..<RESERVED>
10808,PVALID,CYPRIOT SYLLABLE JO
10809,UNASSIGNED,<RESERVED>
1080A-10835,PVALID,CYPRIOT SYLLABLE KA..CYPRIOT SYLLABLE WO
10836,UNASSIGNED,<RESERVED>
10837-10838,PVALID,CYPRIOT SYLLABLE XA..CYPRIOT SYLLABLE XE
10839-1083B,UNASSIGNED,<RESERVED>..<RESERVED>
1083C,PVALID,CYPRIOT SYLLABLE ZA
1083D-1083E,UNASSIGNED,<RESERVED>..<RESERVED>
1083F-10855,PVALID,CYPRIOT SYLLABLE ZO..IMPERIAL ARAMAIC LETTER TAW
10856,UNASSIGNED,<RESERVED>
10857-1085F,ID_DIS or FREE_PVAL,IMPERIAL ARAMAIC SECTION SIGN..IMPERIAL ARAMAIC NUMBER TEN THOUSAND
10860-10876,PVALID,PALMYRENE LETTER ALEPH..PALMYRENE LETTER TAW
10877-1087F,ID_DIS or FREE_PVAL,PALMYRENE LEFT-POINTING FLEURON..PALMYRENE NUMBER TWENTY
10880-1089E,PVALID,NABATAEAN LETTER FINAL ALEPH..NABATAEAN LETTER TAW
1089F-108A6,UNASSIGNED,<RESERVED>..<RESERVED>
108A7-108AF,ID_DIS or FREE_PVAL,NABATAEAN NUMBER ONE..NABATAEAN NUMBER ONE HUNDRED
108B0-108DF,UNASSIGNED,<RESERVED>..<RESERVED>
108E0-108F2,PVALID,HATRAN LETTER ALEPH..HATRAN LETTER QOPH
108F3,UNASSIGNED,<RESERVED>
108F4-108F5,PVALID,HATRAN LETTER SHIN..HATRAN LETTER TAW
108F6-108FA,UNASSIGNED,<RESERVED>..<RESERVED>
108FB-108FF,ID_DIS or FREE_PVAL,HATRAN NUMBER ONE..HATRAN NUMBER ONE HUNDRED
10900-10915,PVALID,PHOENICIAN LETTER ALF..PHOENICIAN LETTER TAU
10916-1091B,ID_DIS or FREE_PVAL,PHOENICIAN NUMBER ONE..PHOENICIAN NUMBER THREE
1091C-1091E,UNASSIGNED,<RESERVED>..<RESERVED>
1091F,ID_DIS or FREE_PVAL,PHOENICIAN WORD SEPARATOR
10920-10939,PVALID,LYDIAN LETTER A..LYDIAN LETTER C
1093A-1093E,UNASSIGNED,<RESERVED>..<RESERVED>
1093F,ID_DIS or FREE_PVAL,LYDIAN TRIANGULAR MARK
10940-10959,PVALID,SIDETIC LETTER N01..SIDETIC LETTER N26
1095A-1097F,UNASSIGNED,<RESERVED>..<RESERVED>
10980-109B7,PVALID,MEROITIC HIEROGLYPHIC LETTER A..MEROITIC CURSIVE LETTER DA
109B8-109BB,UNASSIGNED,<RESERVED>..<RESERVED>
109BC-109BD,ID_DIS or FREE_PVAL,MEROITIC CURSIVE FRACTION ELEVEN TWELFTHS..MEROITIC CURSIVE FRACTION ONE HALF
109BE-109BF,PVALID,MEROITIC CURSIVE LOGOGRAM RMT..MEROITIC CURSIVE LOGOGRAM IMN
109C0-109CF,ID_DIS or FREE_PVAL,MEROITIC CURSIVE NUMBER ONE..MEROITIC CURSIVE NUMBER SEVENTY
109D0-109D1,UNASSIGNED,<RESERVED>..<RESERVED>
109D2-109FF,ID_DIS or FREE_PVAL,MEROITIC CURSIVE NUMBER ONE HUNDRED..MEROITIC CURSIVE FRACTION TEN TWELFTHS
10A00-10A03,PVALID,KHAROSHTHI LETTER A..KHAROSHTHI VOWEL SIGN VOCALIC R
10A04,UNASSIGNED,<RESERVED>
10A05-10A06,PVALID,KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SIGN O
10A07-10A0B,UNASSIGNED,<RESERVED>..<RESERVED>
10A0C-10A13,PVALID,KHAROSHTHI VOWEL LENGTH MARK..KHAROSHTHI LETTER GHA
10A14,UNASSIGNED,<RESERVED>
10A15-10A17,PVALID,KHAROSHTHI LETTER CA..KHAROSHTHI LETTER JA
10A18,UNASSIGNED,<RESERVED>
10A19-10A35,PVALID,KHAROSHTHI LETTER NYA..KHAROSHTHI LETTER VHA
10A36-10A37,UNASSIGNED,<RESERVED>..<RESERVED>
10A38-10A3A,PVALID,KHAROSHTHI SIGN BAR ABOVE..KHAROSHTHI SIGN DOT BELOW
10A3B-10A3E,UNASSIGNED,<RESERVED>..<RESERVED>
10A3F,PVALID,KHAROSHTHI VIRAMA
10A40-10A48,ID_DIS or FREE_PVAL,KHAROSHTHI DIGIT ONE..KHAROSHTHI FRACTION ONE HALF
10A49-10A4F,UNASSIGNED,<RESERVED>..<RESERVED>
10A50-10A58,ID_DIS or FREE_PVAL,KHAROSHTHI PUNCTUATION DOT..KHAROSHTHI PUNCTUATION LINES
10A59-10A5F,UNASSIGNED,<RESERVED>..<RESERVED>
